"panel","run_id","case","seed","alpha","sigma2","sigma1","rho","n_steps","terminal"
"development","production__R01__rep01__n10000000__T50",10001,110001001,1.25,1,1.2,1.45,10000000,50
"development","production__R01__rep02__n10000000__T50",10002,110001002,1.25,1,1.2,1.45,10000000,50
"development","production__R01__rep03__n10000000__T50",10003,110001003,1.25,1,1.2,1.45,10000000,50
"development","production__R01__rep04__n10000000__T50",10004,110001004,1.25,1,1.2,1.45,10000000,50
"development","production__R01__rep05__n10000000__T50",10005,110001005,1.25,1,1.2,1.45,10000000,50
"development","production__R01__rep06__n10000000__T50",10006,110001006,1.25,1,1.2,1.45,10000000,50
"development","production__R01__rep07__n10000000__T50",10007,110001007,1.25,1,1.2,1.45,10000000,50
"development","production__R01__rep08__n10000000__T50",10008,110001008,1.25,1,1.2,1.45,10000000,50
"untouched","production__R01__rep09__n10000000__T50",10009,120001001,1.25,1,1.2,1.45,10000000,50
"development","production__R02__rep01__n10000000__T50",10010,110002001,1.45,0.6,1.6,0.9,10000000,50
"development","production__R02__rep02__n10000000__T50",10011,110002002,1.45,0.6,1.6,0.9,10000000,50
"development","production__R02__rep03__n10000000__T50",10012,110002003,1.45,0.6,1.6,0.9,10000000,50
"development","production__R02__rep04__n10000000__T50",10013,110002004,1.45,0.6,1.6,0.9,10000000,50
"development","production__R02__rep05__n10000000__T50",10014,110002005,1.45,0.6,1.6,0.9,10000000,50
"development","production__R02__rep06__n10000000__T50",10015,110002006,1.45,0.6,1.6,0.9,10000000,50
"development","production__R02__rep07__n10000000__T50",10016,110002007,1.45,0.6,1.6,0.9,10000000,50
"development","production__R02__rep08__n10000000__T50",10017,110002008,1.45,0.6,1.6,0.9,10000000,50
"untouched","production__R02__rep09__n10000000__T50",10018,120002001,1.45,0.6,1.6,0.9,10000000,50
"development","production__R03__rep01__n10000000__T50",10019,110003001,1.55,1.4,0.7,2.2,10000000,50
"development","production__R03__rep02__n10000000__T50",10020,110003002,1.55,1.4,0.7,2.2,10000000,50
"development","production__R03__rep03__n10000000__T50",10021,110003003,1.55,1.4,0.7,2.2,10000000,50
"development","production__R03__rep04__n10000000__T50",10022,110003004,1.55,1.4,0.7,2.2,10000000,50
"development","production__R03__rep05__n10000000__T50",10023,110003005,1.55,1.4,0.7,2.2,10000000,50
"development","production__R03__rep06__n10000000__T50",10024,110003006,1.55,1.4,0.7,2.2,10000000,50
"development","production__R03__rep07__n10000000__T50",10025,110003007,1.55,1.4,0.7,2.2,10000000,50
"development","production__R03__rep08__n10000000__T50",10026,110003008,1.55,1.4,0.7,2.2,10000000,50
"untouched","production__R03__rep09__n10000000__T50",10027,120003001,1.55,1.4,0.7,2.2,10000000,50
"development","production__R04__rep01__n10000000__T50",10028,110004001,1.15,1.3,1.5,1.1,10000000,50
"development","production__R04__rep02__n10000000__T50",10029,110004002,1.15,1.3,1.5,1.1,10000000,50
"development","production__R04__rep03__n10000000__T50",10030,110004003,1.15,1.3,1.5,1.1,10000000,50
"development","production__R04__rep04__n10000000__T50",10031,110004004,1.15,1.3,1.5,1.1,10000000,50
"development","production__R04__rep05__n10000000__T50",10032,110004005,1.15,1.3,1.5,1.1,10000000,50
"development","production__R04__rep06__n10000000__T50",10033,110004006,1.15,1.3,1.5,1.1,10000000,50
"development","production__R04__rep07__n10000000__T50",10034,110004007,1.15,1.3,1.5,1.1,10000000,50
"development","production__R04__rep08__n10000000__T50",10035,110004008,1.15,1.3,1.5,1.1,10000000,50
"untouched","production__R04__rep09__n10000000__T50",10036,120004001,1.15,1.3,1.5,1.1,10000000,50
"development","production__R05__rep01__n10000000__T50",10037,110005001,1.4,0.7,1.3,1,10000000,50
"development","production__R05__rep02__n10000000__T50",10038,110005002,1.4,0.7,1.3,1,10000000,50
"development","production__R05__rep03__n10000000__T50",10039,110005003,1.4,0.7,1.3,1,10000000,50
"development","production__R05__rep04__n10000000__T50",10040,110005004,1.4,0.7,1.3,1,10000000,50
"development","production__R05__rep05__n10000000__T50",10041,110005005,1.4,0.7,1.3,1,10000000,50
"development","production__R05__rep06__n10000000__T50",10042,110005006,1.4,0.7,1.3,1,10000000,50
"development","production__R05__rep07__n10000000__T50",10043,110005007,1.4,0.7,1.3,1,10000000,50
"development","production__R05__rep08__n10000000__T50",10044,110005008,1.4,0.7,1.3,1,10000000,50
"untouched","production__R05__rep09__n10000000__T50",10045,120005001,1.4,0.7,1.3,1,10000000,50
"development","production__R06__rep01__n10000000__T50",10046,110006001,1.1,0.8,0.8,1.8,10000000,50
"development","production__R06__rep02__n10000000__T50",10047,110006002,1.1,0.8,0.8,1.8,10000000,50
"development","production__R06__rep03__n10000000__T50",10048,110006003,1.1,0.8,0.8,1.8,10000000,50
"development","production__R06__rep04__n10000000__T50",10049,110006004,1.1,0.8,0.8,1.8,10000000,50
"development","production__R06__rep05__n10000000__T50",10050,110006005,1.1,0.8,0.8,1.8,10000000,50
"development","production__R06__rep06__n10000000__T50",10051,110006006,1.1,0.8,0.8,1.8,10000000,50
"development","production__R06__rep07__n10000000__T50",10052,110006007,1.1,0.8,0.8,1.8,10000000,50
"development","production__R06__rep08__n10000000__T50",10053,110006008,1.1,0.8,0.8,1.8,10000000,50
"untouched","production__R06__rep09__n10000000__T50",10054,120006001,1.1,0.8,0.8,1.8,10000000,50
"development","production__R07__rep01__n10000000__T50",10055,110007001,1.58,1.25,0.85,1.05,10000000,50
"development","production__R07__rep02__n10000000__T50",10056,110007002,1.58,1.25,0.85,1.05,10000000,50
"development","production__R07__rep03__n10000000__T50",10057,110007003,1.58,1.25,0.85,1.05,10000000,50
"development","production__R07__rep04__n10000000__T50",10058,110007004,1.58,1.25,0.85,1.05,10000000,50
"development","production__R07__rep05__n10000000__T50",10059,110007005,1.58,1.25,0.85,1.05,10000000,50
"development","production__R07__rep06__n10000000__T50",10060,110007006,1.58,1.25,0.85,1.05,10000000,50
"development","production__R07__rep07__n10000000__T50",10061,110007007,1.58,1.25,0.85,1.05,10000000,50
"development","production__R07__rep08__n10000000__T50",10062,110007008,1.58,1.25,0.85,1.05,10000000,50
"untouched","production__R07__rep09__n10000000__T50",10063,120007001,1.58,1.25,0.85,1.05,10000000,50
"development","production__R08__rep01__n10000000__T50",10064,110008001,1.55,0.9,0.9,1.9,10000000,50
"development","production__R08__rep02__n10000000__T50",10065,110008002,1.55,0.9,0.9,1.9,10000000,50
"development","production__R08__rep03__n10000000__T50",10066,110008003,1.55,0.9,0.9,1.9,10000000,50
"development","production__R08__rep04__n10000000__T50",10067,110008004,1.55,0.9,0.9,1.9,10000000,50
"development","production__R08__rep05__n10000000__T50",10068,110008005,1.55,0.9,0.9,1.9,10000000,50
"development","production__R08__rep06__n10000000__T50",10069,110008006,1.55,0.9,0.9,1.9,10000000,50
"development","production__R08__rep07__n10000000__T50",10070,110008007,1.55,0.9,0.9,1.9,10000000,50
"development","production__R08__rep08__n10000000__T50",10071,110008008,1.55,0.9,0.9,1.9,10000000,50
"untouched","production__R08__rep09__n10000000__T50",10072,120008001,1.55,0.9,0.9,1.9,10000000,50
"development","production__R09__rep01__n10000000__T50",10073,110009001,1.55,1,1.6,1.2,10000000,50
"development","production__R09__rep02__n10000000__T50",10074,110009002,1.55,1,1.6,1.2,10000000,50
"development","production__R09__rep03__n10000000__T50",10075,110009003,1.55,1,1.6,1.2,10000000,50
"development","production__R09__rep04__n10000000__T50",10076,110009004,1.55,1,1.6,1.2,10000000,50
"development","production__R09__rep05__n10000000__T50",10077,110009005,1.55,1,1.6,1.2,10000000,50
"development","production__R09__rep06__n10000000__T50",10078,110009006,1.55,1,1.6,1.2,10000000,50
