"scenario_id","scenario_name","source","alpha","sigma2","sigma1","rho","anchor_class","long_span_subset","stress_subset","beta","jump_strength","clock_speed","alpha_range"
"R01","central_case2","locked_case2",1.25,1,1.2,1.45,"central",TRUE,FALSE,1.74,"moderate","moderate","central"
"R02","low_clock_weak_jump","locked_low_clock",1.45,0.6,1.6,0.9,"low_clock;weak_jump;extreme_ecf_stress",TRUE,TRUE,1.44,"weak","low","central"
"R03","high_clock_strong_jump","locked_high_clock",1.55,1.4,0.7,2.2,"high_clock;strong_jump;propagation_stress",TRUE,TRUE,1.54,"strong","high","high"
"R04","sigma2_hard_B07","locked_B07",1.15,1.3,1.5,1.1,"sigma2_hard;low_alpha;strong_jump",TRUE,TRUE,1.65,"strong","low","low"
"R05","alpha_hard_H09","locked_H09",1.4,0.7,1.3,1,"alpha_hard",TRUE,TRUE,1.3,"weak","low","central"
"R06","low_alpha_high_clock_B04","locked_B04",1.1,0.8,0.8,1.8,"low_alpha;high_clock",FALSE,FALSE,1.44,"weak","high","low"
"R07","high_alpha_high_sigma2_H02","locked_H02",1.58,1.25,0.85,1.05,"high_alpha;high_sigma2;low_beta;low_rho",FALSE,FALSE,0.8925,"strong","low","high"
"R08","high_beta_high_rho_B08","locked_B08",1.55,0.9,0.9,1.9,"high_beta;high_rho",FALSE,FALSE,1.71,"moderate","high","high"
"R09","high_beta_low_rho_H07","locked_H07",1.55,1,1.6,1.2,"high_beta;low_rho",FALSE,FALSE,1.92,"moderate","moderate","high"
"R10","interior_high_beta_H03","locked_H03",1.32,0.95,1.2,1.5,"interior;high_beta",FALSE,FALSE,1.8,"moderate","moderate","central"
"R11","low_beta_high_rho","existing_bounds_interaction",1.25,1.1,0.7,1.9,"low_beta;high_rho",FALSE,FALSE,1.33,"moderate","high","central"
"R12","minimum_alpha_strong_jump","existing_bounds_interaction",1.08,1.3,1,1.7,"minimum_alpha;strong_jump;high_clock",TRUE,TRUE,1.7,"strong","moderate","low"
