"run_key","case","panel","experiment","stage","scenario_id","replication","seed","n_steps","terminal","delta","correction_profile","priority","frozen_status"
"production__R01__rep01__n10000000__T50",10001,"development","production","feasibility","R01",1,110001001,10000000,50,5e-06,"finite_window_correction_numerical_profiles.csv",1,"planned"
"production__R01__rep02__n10000000__T50",10002,"development","production","feasibility","R01",2,110001002,10000000,50,5e-06,"finite_window_correction_numerical_profiles.csv",1,"planned"
"production__R01__rep03__n10000000__T50",10003,"development","production","feasibility","R01",3,110001003,10000000,50,5e-06,"finite_window_correction_numerical_profiles.csv",1,"planned"
"production__R01__rep04__n10000000__T50",10004,"development","production","primary_expansion","R01",4,110001004,10000000,50,5e-06,"finite_window_correction_numerical_profiles.csv",2,"planned"
"production__R01__rep05__n10000000__T50",10005,"development","production","primary_expansion","R01",5,110001005,10000000,50,5e-06,"finite_window_correction_numerical_profiles.csv",2,"planned"
"production__R01__rep06__n10000000__T50",10006,"development","production","primary_expansion","R01",6,110001006,10000000,50,5e-06,"finite_window_correction_numerical_profiles.csv",2,"planned"
"production__R01__rep07__n10000000__T50",10007,"development","production","primary_expansion","R01",7,110001007,10000000,50,5e-06,"finite_window_correction_numerical_profiles.csv",2,"planned"
"production__R01__rep08__n10000000__T50",10008,"development","production","primary_expansion","R01",8,110001008,10000000,50,5e-06,"finite_window_correction_numerical_profiles.csv",2,"planned"
"production__R01__rep09__n10000000__T50",10009,"untouched","production","untouched_final","R01",9,120001001,10000000,50,5e-06,"finite_window_correction_numerical_profiles.csv",6,"planned"
"production__R02__rep01__n10000000__T50",10010,"development","production","feasibility","R02",1,110002001,10000000,50,5e-06,"finite_window_correction_numerical_profiles.csv",1,"planned"
"production__R02__rep02__n10000000__T50",10011,"development","production","feasibility","R02",2,110002002,10000000,50,5e-06,"finite_window_correction_numerical_profiles.csv",1,"planned"
"production__R02__rep03__n10000000__T50",10012,"development","production","feasibility","R02",3,110002003,10000000,50,5e-06,"finite_window_correction_numerical_profiles.csv",1,"planned"
"production__R02__rep04__n10000000__T50",10013,"development","production","primary_expansion","R02",4,110002004,10000000,50,5e-06,"finite_window_correction_numerical_profiles.csv",2,"planned"
"production__R02__rep05__n10000000__T50",10014,"development","production","primary_expansion","R02",5,110002005,10000000,50,5e-06,"finite_window_correction_numerical_profiles.csv",2,"planned"
"production__R02__rep06__n10000000__T50",10015,"development","production","primary_expansion","R02",6,110002006,10000000,50,5e-06,"finite_window_correction_numerical_profiles.csv",2,"planned"
"production__R02__rep07__n10000000__T50",10016,"development","production","primary_expansion","R02",7,110002007,10000000,50,5e-06,"finite_window_correction_numerical_profiles.csv",2,"planned"
"production__R02__rep08__n10000000__T50",10017,"development","production","primary_expansion","R02",8,110002008,10000000,50,5e-06,"finite_window_correction_numerical_profiles.csv",2,"planned"
"production__R02__rep09__n10000000__T50",10018,"untouched","production","untouched_final","R02",9,120002001,10000000,50,5e-06,"finite_window_correction_numerical_profiles.csv",6,"planned"
"production__R03__rep01__n10000000__T50",10019,"development","production","feasibility","R03",1,110003001,10000000,50,5e-06,"finite_window_correction_numerical_profiles.csv",1,"planned"
"production__R03__rep02__n10000000__T50",10020,"development","production","feasibility","R03",2,110003002,10000000,50,5e-06,"finite_window_correction_numerical_profiles.csv",1,"planned"
"production__R03__rep03__n10000000__T50",10021,"development","production","feasibility","R03",3,110003003,10000000,50,5e-06,"finite_window_correction_numerical_profiles.csv",1,"planned"
"production__R03__rep04__n10000000__T50",10022,"development","production","primary_expansion","R03",4,110003004,10000000,50,5e-06,"finite_window_correction_numerical_profiles.csv",2,"planned"
"production__R03__rep05__n10000000__T50",10023,"development","production","primary_expansion","R03",5,110003005,10000000,50,5e-06,"finite_window_correction_numerical_profiles.csv",2,"planned"
"production__R03__rep06__n10000000__T50",10024,"development","production","primary_expansion","R03",6,110003006,10000000,50,5e-06,"finite_window_correction_numerical_profiles.csv",2,"planned"
"production__R03__rep07__n10000000__T50",10025,"development","production","primary_expansion","R03",7,110003007,10000000,50,5e-06,"finite_window_correction_numerical_profiles.csv",2,"planned"
"production__R03__rep08__n10000000__T50",10026,"development","production","primary_expansion","R03",8,110003008,10000000,50,5e-06,"finite_window_correction_numerical_profiles.csv",2,"planned"
"production__R03__rep09__n10000000__T50",10027,"untouched","production","untouched_final","R03",9,120003001,10000000,50,5e-06,"finite_window_correction_numerical_profiles.csv",6,"planned"
"production__R04__rep01__n10000000__T50",10028,"development","production","feasibility","R04",1,110004001,10000000,50,5e-06,"finite_window_correction_numerical_profiles.csv",1,"planned"
